"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/2023","12.50","12.50","12.50","12.50","1.80K","0.00%"
"12/07/2023","12.50","12.50","12.50","12.50","0.50K","0.00%"
"12/06/2023","12.50","12.50","12.50","12.50","0.03K","0.00%"
"12/05/2023","12.50","12.50","12.50","12.50","1.78K","0.00%"
"12/04/2023","12.50","12.50","12.50","12.50","0.02K","0.00%"
"12/03/2023","12.50","12.50","12.50","12.50","5.90K","0.00%"
"11/29/2023","12.50","12.50","12.50","12.50","1.85K","0.00%"
"11/28/2023","12.50","12.50","12.50","12.50","1.82K","0.00%"
"11/27/2023","12.50","12.50","12.50","12.50","3.01K","0.00%"
"11/26/2023","12.50","12.50","12.50","12.50","0.04K","0.00%"
"11/23/2023","12.50","12.50","12.50","12.50","0.04K","0.00%"
"11/22/2023","12.50","12.50","12.50","12.50","0.40K","0.00%"
"11/21/2023","12.50","12.50","12.50","12.50","0.01K","0.00%"
"11/20/2023","12.50","12.50","12.50","12.50","2.58K","0.00%"
"11/19/2023","12.50","12.50","12.50","12.50","0.04K","0.00%"
"11/16/2023","12.50","12.50","12.50","12.50","0.18K","0.00%"
"11/15/2023","12.50","12.50","12.50","12.50","1.00K","0.00%"
"11/14/2023","12.50","12.50","12.50","12.50","2.31K","0.00%"
"11/13/2023","12.50","12.50","12.50","12.50","0.11K","0.00%"
"11/12/2023","12.50","12.50","12.50","12.50","0.02K","0.00%"
"11/09/2023","12.50","12.50","12.50","12.50","2.51K","0.00%"
"11/08/2023","12.50","12.50","12.50","12.50","6.71K","0.00%"
"11/07/2023","12.50","12.50","12.50","12.50","0.04K","0.00%"
"11/06/2023","12.50","12.50","12.50","12.50","0.01K","0.00%"
"11/05/2023","12.50","12.50","12.50","12.50","1.01K","0.00%"
"11/02/2023","12.50","12.50","12.50","12.50","0.21K","0.00%"
"11/01/2023","12.50","12.50","12.50","12.50","0.00K","0.00%"
"10/31/2023","12.50","12.50","12.50","12.50","5.84K","0.00%"
"10/30/2023","12.50","12.50","12.50","12.50","0.03K","0.00%"
"10/26/2023","12.50","12.50","12.50","12.50","2.03K","0.00%"
"10/22/2023","12.50","12.50","12.50","12.50","0.00K","0.00%"
"10/19/2023","12.50","12.50","12.50","12.50","0.00K","0.00%"
"10/17/2023","12.50","12.50","12.50","12.50","5.29K","0.00%"
"10/16/2023","12.50","12.50","12.50","12.50","0.71K","0.00%"
"10/15/2023","12.50","12.50","12.50","12.50","1.30K","0.00%"
"10/12/2023","12.50","12.50","12.50","12.50","0.18K","0.00%"
"10/11/2023","12.50","12.50","12.50","12.50","1.05K","0.00%"
"10/10/2023","12.50","12.50","12.50","12.50","0.53K","0.00%"
"10/08/2023","12.50","12.50","12.50","12.50","1.74K","0.00%"
"10/05/2023","12.50","12.50","12.50","12.50","2.62K","0.00%"
"10/04/2023","12.50","12.50","12.50","12.50","0.07K","0.00%"
"10/03/2023","12.50","12.50","12.50","12.50","3.97K","0.00%"
